Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359769aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359771aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359772aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359773aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359775aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359776aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359778aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359779aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359780aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359781aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359783aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359784aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359785aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359786aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359787aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359788aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359789aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359790aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359791aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359795aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359796aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359797aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359798aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359802aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359803aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359804aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359809aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC2_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC3_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC4_MWY-24-5969-02-b_human_DIA_Astral_2.mzML
A0A075B6Q5	A0A075B6Q5	HV364_HUMAN	IGHV3-64	Immunoglobulin heavy variable 3-64	28812.1	23013.8	49967.6	34880.2	7079.68	36836.8	25447.3	31076.2	45283.2	4579.68	129920	32008.7	8785.09	25489	13013	18263.6	18778.7	19447.9	23490.3	15340.3	18992	28184.4	19787.3	14868.3	25926.2	20178	13201	29196.9	28615.9	32627.1	29452.4
A0A075B6R2	A0A075B6R2;A0A075B7B6;A0A087WW49	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4	97115.4	124754	101762	24279.6	54911.4	64204.7	17259.6	286117	132274	21727.5	675242	138934	32563.5	58984.4	81534.7	57851.5	13577.9	114275	61111.8	62837.4	56523.9	22548.7	55425.8	NA	12811.5	29461.5	52557.5	69786.4	73050.1	81158.4	67695.8
A0A075B6S2	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29	NA	60308.8	56539.9	31149.9	NA	81747.7	15422.7	14776.6	NA	NA	50588.5	15501.2	18685.9	20614	NA	30751.4	30712.6	NA	11863.7	NA	14184.4	21077	NA	7855.53	11227.8	15734.8	15833.3	22406.7	21249.6	17291.5	15016.7
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	71744.9	64045.4	40859.4	79889.6	43800.3	97062.3	41846.2	38536.2	108914	29070.1	351611	81301.1	27451.4	78066.2	47179.5	43568.5	41455.8	109379	47636.7	41351.5	58540.3	49759.1	39425.7	21790.5	63636.5	50610.5	60535.5	63771.1	66753.6	69809.6	62068.2
A0A075B6S6	A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3735.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10174.1	NA	NA	12991.2	NA
A0A075B6S9;P0DSN7	A0A075B6S9;P0DSN7	KV137_HUMAN;KVD37_HUMAN	IGKV1-37;IGKV1D-37	Probable non-functional immunoglobulinn kappa variable 1-37	3975.91	3402.21	11032.2	109311	3981.79	4077.28	15490.9	8008.01	9479.95	6745.01	38769.1	9964.88	3297.29	14546.5	2079.68	6685.54	5159.69	NA	3759.92	2019.33	5726.79	8281.48	14277.8	NA	3459.64	13480.8	4911.31	8631.28	12273.4	15492.1	13261.6
A0A075B7B6	A0A075B7B6	A0A075B7B6_HUMAN	IGHV4OR15-8	Immunoglobulin heavy variable 4/OR15-8 (non-functional) (Fragment)	NA	19289	NA	51610.4	53368.6	44136.4	NA	NA	18443.4	138300	96469.4	24914.7	NA	NA	NA	NA	NA	NA	NA	NA	37662.9	NA	NA	NA	NA	36031.1	NA	37821.4	53651.6	NA	NA
A0A075B7B8	A0A075B7B8	A0A075B7B8_HUMAN	IGHV3OR16-12	Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment)	222729	230753	208742	228812	109877	412875	167825	150134	424535	148220	1024250	298206	55542.9	118274	70952.8	127385	131592	201732	125100	120206	137538	258550	176967	90561	159636	184419	187999	277726	256708	284884	267490
A0A075B7D0	A0A075B7D0	A0A075B7D0_HUMAN	IGHV1OR15-1	Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment)	350413	975283	417784	964338	245329	817369	504311	158905	1539840	469196	4269170	385858	213617	527098	360941	341674	357396	596432	841460	175052	629340	606564	508864	245132	277910	335332	72637.5	708249	809725	549540	591175
A0A075B7D8	A0A075B7D8	A0A075B7D8_HUMAN	IGHV3OR15-7	Immunoglobulin heavy variable 3/OR15-7 (pseudogene) (Fragment)	236663	170730	126996	229939	93248	222996	275615	283796	520928	156932	1270130	155761	60445.1	164608	92615.5	231739	114357	269803	95759.1	123195	201485	185740	162992	150005	203844	194176	123468	278620	290251	288729	312527
A0A075B7F0	A0A075B7F0	A0A075B7F0_HUMAN	IGHV3OR16-10	Immunoglobulin heavy variable 3/OR16-10 (non-functional) (Fragment)	11015.7	8038.56	NA	NA	13285.8	19555.2	4771.31	13231.5	10168.5	10074.1	21078	52899.1	7899.7	26805.7	15329.3	11476.3	9421.26	34056	25016.4	6814.19	4545.49	21922	20339.8	12006.9	7394.23	22759.8	16429.6	23643.8	14661.9	12875.5	19658.9
A0A087WSX0	A0A087WSX0;A0A0G2JSC0	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45	62011	48931	73561.9	79693.8	8137.12	62525.1	35285.9	34122.3	106910	21301.9	252739	39542.9	10617.1	19920.8	37723.8	37794.9	18072.9	49078.8	18213.4	23672.1	39251.9	50085.5	31222.2	21911	40390.3	24154.7	37776.7	73093.9	63105.8	60719.3	56317.4
A0A087WSY4	A0A087WSY4	HV432_HUMAN	IGHV4-30-2	Immunoglobulin heavy variable 4-30-2	NA	47520	27457.2	16630.1	NA	NA	NA	NA	84212.1	NA	38106.4	NA	NA	NA	NA	NA	NA	NA	35723.4	NA	NA	76980.2	NA	NA	NA	NA	NA	NA	NA	NA	36556.7
A0A087WSY6	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	213724	163767	179823	227708	94122.9	200852	225324	184788	587306	123585	1079580	242796	105984	165363	99463	145188	150926	184814	165191	113660	176828	168434	180606	104541	189911	134340	137087	272186	250284	259288	261742
A0A087WSZ0	A0A087WSZ0;A0A0G2JQJ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8	7771.53	10838.8	5477.16	3190.35	1784.96	8204.27	4524.08	NA	7411.16	NA	27376.7	14099.2	NA	1407.33	NA	NA	6554.4	3314.36	5170.68	NA	7023.72	NA	6713.51	3789.43	4341.73	7204.8	6348.55	8941.87	7741.31	9119.72	8548.14
A0A087WT15;A0A096LP10	A0A087WT15;A0A096LP10	A0A087WT15_HUMAN;A0A096LP10_HUMAN	ALG13	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase	21375.4	23624.3	23456.9	14964	19102.1	17420.3	23915	16731.7	14227.9	21954.3	22567.7	28978.3	18649.2	21586.8	13195.9	33209.4	29605.2	22290.9	12838.8	21071.9	21300.7	27454.7	22277.8	11754.9	21900.2	20630.2	20493.8	14080	14932.9	16705.9	NA
A0A087WT39;A0A0J9YYD9;V9GYI1	A0A0J9YYD9;A0A087WT39;A0A087WZP9;V9GYI1	A0A087WT39_HUMAN;A0A0J9YYD9_HUMAN;V9GYI1_HUMAN	LIME1	Lck interacting transmembrane adaptor 1	7259.02	7760.82	5881.28	NA	4928.43	NA	6940.83	8517.94	NA	12814.1	16445.7	10947	6637.88	10065.8	3814.63	7404.9	4052.01	9529.71	9235.76	5599.58	5894.36	11927.2	9849.75	3374.36	9053.2	10562.4	10479.2	12470.8	11049.1	8936.27	11215.1
A0A087WTU7;A0A5H1ZRP9	A0A087WTU7;A0A5H1ZRP9;A0A804HKR4;H0Y304;A0A7P0T8I2;A0A7P0TAW7	A0A087WTU7_HUMAN;A0A5H1ZRP9_HUMAN	DMD	Dystrophin	9631.1	6981.09	2709.34	NA	5651.96	10042.2	1634.57	NA	26948.1	4194.23	6835.2	8351.47	NA	3010.87	NA	6742	5833.36	7216.08	NA	3413.31	NA	4916.83	NA	NA	4747.38	5107.52	NA	4784.67	NA	2950.07	4707.46
A0A087WU03	A0A087WU03	A0A087WU03_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D like	5188.65	4592.56	5445.4	9466.87	7334.27	8683.53	7745.03	6732.9	6521.5	12513.7	NA	6397.86	9180.01	6744.53	9026.36	6711.98	12571.9	4196.05	6025.91	9486.44	11035.2	8037.82	9620.2	8999.52	8035.09	7098.01	9711.35	16946.3	11100.3	12006.4	10034.5
A0A087WUW5	A0A087WUW5	A0A087WUW5_HUMAN	PTBP1	Polypyrimidine tract binding protein 1 (Fragment)	NA	4666.96	NA	5992.86	NA	13832.4	13756.8	24336.8	30854.4	6513.59	34889.2	38529.5	998.284	13777.3	NA	6389.76	NA	NA	15702.3	4102.85	11231.1	21944.3	11646	3775.61	19175	13393.5	5856.09	17681.1	18006.9	16478.1	13370.8
A0A087WV53	A0A087WV53;H7BZM6	SPEGN_HUMAN	SPEGNB	SPEG neighbor protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WVD1	A0A087WVD1	A0A087WVD1_HUMAN	LENG9	Leukocyte receptor cluster member 9	23577.3	29282.1	21726.8	26667.4	45854.2	26830.6	30579.4	33573.3	17189.1	53535	24582.2	40106.9	19811.8	44711	23077.8	25175.4	30468.4	22764.2	36390.5	47503	30743.2	32208.1	25936.9	35393	20373.1	40963.6	40178.8	29009.1	26835.2	30421.8	27495.1
A0A087WVI4;A0A0G2JMM6;A0A0G2JMP8	A0A087WVI4;A0A0G2JMM6;A0A0G2JMP8	A0A087WVI4_HUMAN;A0A0G2JMM6_HUMAN;A0A0G2JMP8_HUMAN	TMC4	Transmembrane channel-like protein	22382.1	23873.4	27872.2	11995	20577.5	6558.14	20103.2	10784.7	NA	28553	7134.1	20762.7	20904.8	14752.4	14452.5	21191.6	17542.2	29679.2	15458.6	18009.7	18660.7	14507.7	19146.3	14153.6	19341.2	25881.3	17083.8	20464.8	17709.8	19181.1	15083
A0A087WVZ5;A0A0G2JQH3	A0A087WVZ5;A0A0G2JQH3	A0A087WVZ5_HUMAN;A0A0G2JQH3_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein	NA	8487.13	8054.76	7639	14716.5	NA	11949.1	7806	NA	3778.23	8722.39	16742.3	8867.41	10915.8	16121.6	12974.5	3456.79	9799.12	6472.88	7603.92	8050.07	6009.37	15281.3	7127.6	12178.7	8372.51	10390.7	5458	12936.2	6808.32	8634.28
A0A087WVZ6	A0A087WVZ6;H7C4X9	A0A087WVZ6_HUMAN	ZMYND8	Zinc finger MYND-type containing 8	7593.87	3654.52	5405.43	4485.26	7322.82	3249.35	8213.23	7409.91	3034.64	7576.55	NA	2710.96	5532.2	5368.72	9914.56	5255.38	5515.81	4388.28	6061.94	7416.13	2893.72	4739.14	6048.56	4727.52	4129.42	4797.94	3934.63	NA	6423.2	NA	5031.86
A0A087WW87;P01614	P01614;A0A087WW87	KV240_HUMAN;KVD40_HUMAN	IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40	14602.9	42102.2	17632.4	19642.8	18054.4	47688.3	15631.1	18455.9	49317.3	6329.09	78301.4	62089.2	12585.4	10869.3	6042.33	12976.3	22969.8	15652.1	46599.9	13644.1	36638.5	29660.5	11071	5222.32	45826.8	24216.5	15891.1	28372.6	23338.3	31287.8	37077.6
A0A087WWI0	Q9H2I8;A0A087WWI0	A0A087WWI0_HUMAN	LRMDA	Leucine rich melanocyte differentiation associated	5465.3	3701.47	7016.08	11965.5	3868.21	NA	5411.84	12232.1	3403.45	2687.15	9181.75	7666.01	2921.97	6369.82	NA	3464.7	6764.06	5622.24	7117.63	5223.81	2974.24	7648.42	7252.2	4157.64	8640.57	10571.4	5271.14	6625.09	5002.2	NA	NA
